id,value
Olivo,5
Olivo,6.5
Olivo,5
Mirto,7.5
Carrubo,8
Olivo,5
Olivo,7.5
Fico magnolioide,10
Fico magnolioide,9
Fico magnolioide,9
Roverella,20
Roverella,20
Carrubo,12
Sughera,15
Roverella,20
Sughera,20
Olivo,3.5
Fico magnolioide,18
Fico magnolioide,20
Roverella,20
Roverella,20
Roverella,20
Mandorlo,11
Pino d'Aleppo,13
Quercia congesta,23
Farnia,25
Pero domestico,12
Olivastro,12
Platano comune,8
Pino laricio,15
Roverella,15
Roverella,11
Betulla dell'Etna,17
Sughera,11
Cedro dell'Atlante,16
Fico magnolioide,30
Pino del Queensland,40
Pino del Queensland,45
Fico magnolioide,25
Albero del drago,7
Pino laricio,24
Cerro,18
Acero napoletano,14
Faggio,20
Acero d'Ungheria,18
Bagolaro,18
Olivo,8
Tipuana,25
Fico rugginoso,25
Betulla dell'Etna,20
Acero di monte,4
Fico magnolioide,18
Roverella,16
Roverella,11
Castagno,22
Roverella,12
Betulla dell'Etna,12
Castagno,16
Roverella,11
Roverella,13
Pino domestico,16
Leccio,18
Faggio,13
Pioppo tremolo,10
Faggio,20
Acero di monte,24
Acero di monte,26
Acero campestre,14
Faggio,15
Pino domestico,10
Quercia castagnara,19
Albero del drago,8
Fico magnolioide,20
Carrubo,8
Cipresso comune,30
Cipresso comune,30
Quercia castagnara,25
Quercia congesta,20
Quercia di Dalechamps,13
Pioppo nero,20
Quercia castagnara,30
Olivo,4
Olivo,4
Olivo,6
Mandorlo,12
Quercia castagnara,13
Quercia castagnara,18
Pioppo nero,20
Fico magnolioide,14.5
Olivo,10.5
Fico magnolioide,21
Cipresso comune,23
Platano comune,28
Pino del Queensland,23
Fico magnolioide,20
Fico magnolioide,20
Albero del drago,12
Fico magnolioide,16
Pianta mangiafumo,7
Yucca,12
Palma messicana,20
Fico magnolioide,11
Fitolacca arborea,10
Fico magnolioide,17
Fico bianco,20
Palma californiana,16
Olivo,15
Olivo,15
Pianta mangiafumo,8
Pianta mangiafumo,8
Albero del drago,7
Albero del fuoco,20
Palma da datteri,20
Fico magnolioide,25
Albero del drago,7
Ficus a frutti piccoli,18
Fico magnolioide,8
Ficus a frutti piccoli,20
Albero del drago,8
Noce Pecan,30
Falso kapok,15
Melaleuca glabra,4
Fico magnolioide,25
Albero del drago,8
Cycas,8
Pino colonna,36
Fico magnolioide,30
Pino colonna,38
Pino di Norfolk,36
Platano comune,30
Pino colonna,32
Palma da datteri,15
Fico magnolioide,28
Olivo,12
Olivo,8
Roverella,17
Olivo,6
Olivo,4
Olivo,8
Carrubo,10
Carrubo,12
Carrubo,13
Carrubo,9.5
Fico magnolioide,25
Fico magnolioide,25
Lentisco,3
Olmo campestre,19
Mandorlo,9
Tamerice africana,7.5
Carrubo,10
Pino di Norfolk,28
Lentisco,5
Olivo,9
Mandorlo,9
Leccio,14
Cipresso comune,19
Cedro del Libano,14
Leccio,24
Noce comune,13